idx,Action
127114,Swiping Left
67258,Thumb Up
80584,Swiping Left
118989,Stop Sign
133606,Thumb Up
19572,Sliding Two Fingers Down
1465,Sliding Two Fingers Up
32647,Doing other things
132195,Sliding Two Fingers Up
127865,No gesture
113321,Doing other things
819,Sliding Two Fingers Up
29827,Sliding Two Fingers Up
58969,Thumb Up
81363,Sliding Two Fingers Down
96591,Sliding Two Fingers Up
80122,Sliding Two Fingers Down
105702,No gesture
119712,Doing other things
3767,Sliding Two Fingers Down
3653,Thumb Up
75958,Swiping Left
60730,Thumb Up
143336,Sliding Two Fingers Up
74901,Doing other things
119798,Sliding Two Fingers Down
111620,Sliding Two Fingers Down
50317,Doing other things
105112,Doing other things
18414,Sliding Two Fingers Up
35417,Doing other things
147445,Swiping Right
12871,Stop Sign
54923,Swiping Right
61391,Swiping Left
71546,Doing other things
145594,Turning Hand Clockwise
95378,Doing other things
39486,Sliding Two Fingers Up
90451,Sliding Two Fingers Down
136069,Doing other things
25584,Turning Hand Clockwise
58684,Doing other things
89665,Doing other things
121185,Sliding Two Fingers Up
36426,Thumb Up
37208,Stop Sign
63220,Thumb Up
79266,Swiping Left
22676,Doing other things
122776,Swiping Right
8202,Sliding Two Fingers Up
60413,Sliding Two Fingers Down
92478,Swiping Right
115494,Thumb Up
72849,Swiping Left
56763,Swiping Left
23608,Sliding Two Fingers Up
32023,Thumb Up
118292,Sliding Two Fingers Up
67057,Swiping Left
37296,Doing other things
74835,Sliding Two Fingers Down
98682,Sliding Two Fingers Up
59849,Turning Hand Clockwise
142705,Sliding Two Fingers Up
59877,Sliding Two Fingers Down
19818,Swiping Right
103976,Doing other things
54041,Sliding Two Fingers Down
66193,Thumb Up
83568,Stop Sign
87984,Swiping Right
61310,Turning Hand Clockwise
40792,No gesture
114800,Stop Sign
122283,Swiping Left
36073,Swiping Right
59819,Stop Sign
15660,Swiping Right
66046,Turning Hand Clockwise
130661,Sliding Two Fingers Down
40033,Sliding Two Fingers Up
58716,Doing other things
81649,Thumb Up
20218,Turning Hand Clockwise
97694,Swiping Right
88692,Doing other things
129172,Stop Sign
124023,Doing other things
29690,Swiping Left
111254,No gesture
80940,Stop Sign
45836,Doing other things
91643,Turning Hand Clockwise
56737,Swiping Right
53673,Doing other things
34415,Stop Sign
134297,Stop Sign
108839,Doing other things
7934,Doing other things
27131,Stop Sign
125080,Thumb Up
114611,Thumb Up
76482,Swiping Right
99140,Sliding Two Fingers Up
2301,No gesture
49491,Thumb Up
120672,Sliding Two Fingers Up
134635,Doing other things
50747,Swiping Left
123349,No gesture
67145,Sliding Two Fingers Up
120016,No gesture
55207,Doing other things
125382,Thumb Up
73206,Doing other things
43340,Sliding Two Fingers Down
29205,Swiping Left
26778,No gesture
51752,Swiping Right
122831,No gesture
77739,Sliding Two Fingers Down
138151,Doing other things
45438,Doing other things
139416,Turning Hand Clockwise
138188,No gesture
68186,Doing other things
144236,Swiping Left
114443,Sliding Two Fingers Up
69836,Stop Sign
36590,Stop Sign
136248,Sliding Two Fingers Up
132086,Doing other things
89507,Swiping Left
130313,Doing other things
140686,Thumb Up
131452,Sliding Two Fingers Up
91132,Stop Sign
73173,Swiping Left
79595,Doing other things
141398,Swiping Left
16410,Swiping Left
51064,Swiping Left
35080,No gesture
130575,Doing other things
59802,Turning Hand Clockwise
110948,Stop Sign
100166,Doing other things
77583,Swiping Right
86813,Stop Sign
127255,Swiping Left
138814,Swiping Right
138468,Turning Hand Clockwise
128219,Swiping Left
38901,Thumb Up
17090,Thumb Up
129358,Swiping Right
79018,Doing other things
94943,Doing other things
40774,Sliding Two Fingers Up
115830,Doing other things
139403,Swiping Right
78145,Stop Sign
44455,Doing other things
13156,Sliding Two Fingers Down
109921,Swiping Right
58071,Sliding Two Fingers Down
28224,Doing other things
143101,Swiping Right
140819,Doing other things
48236,Doing other things
51521,Swiping Left
34790,Stop Sign
97339,Sliding Two Fingers Up
26358,Doing other things
127754,Swiping Right
79088,Stop Sign
62489,Swiping Left
99482,Doing other things
15957,Sliding Two Fingers Up
95617,Stop Sign
118006,No gesture
138615,Doing other things
110154,Swiping Left
122697,Thumb Up
87926,Swiping Right
136951,Sliding Two Fingers Down
128279,Sliding Two Fingers Down
100189,Doing other things
10729,Doing other things
125134,Stop Sign
17597,Doing other things
32965,Sliding Two Fingers Up
54305,Doing other things
38377,Swiping Left
104860,Doing other things
131526,Turning Hand Clockwise
145784,Doing other things
88148,Turning Hand Clockwise
102514,No gesture
54210,Doing other things
121468,Sliding Two Fingers Down
76203,Thumb Up
31888,Sliding Two Fingers Down
20248,Turning Hand Clockwise
10385,Turning Hand Clockwise
44105,Sliding Two Fingers Up
12823,Doing other things
54859,Thumb Up
138779,Swiping Right
124468,Doing other things
27434,Swiping Right
43582,Sliding Two Fingers Up
17278,No gesture
18220,Sliding Two Fingers Up
142784,Thumb Up
124835,Sliding Two Fingers Down
95870,Doing other things
99470,Sliding Two Fingers Down
66747,Turning Hand Clockwise
116520,Doing other things
83395,Swiping Right
43324,Doing other things
93286,Thumb Up
82625,Sliding Two Fingers Up
24007,Sliding Two Fingers Down
38312,Swiping Left
74576,Turning Hand Clockwise
109054,Stop Sign
145868,Swiping Left
71045,Stop Sign
107853,Doing other things
94184,Turning Hand Clockwise
92059,Turning Hand Clockwise
565,Doing other things
44365,Turning Hand Clockwise
60048,Doing other things
24415,Sliding Two Fingers Up
144956,Swiping Right
64112,Swiping Right
74995,Thumb Up
94131,No gesture
113377,Doing other things
11510,Doing other things
65055,Sliding Two Fingers Down
111641,Thumb Up
137820,No gesture
21597,Thumb Up
115666,Sliding Two Fingers Down
25049,Stop Sign
26647,Doing other things
80079,Sliding Two Fingers Up
28691,Swiping Left
41867,Doing other things
109953,Doing other things
7186,Sliding Two Fingers Down
28029,Doing other things
69158,Sliding Two Fingers Down
59674,Sliding Two Fingers Down
17874,Turning Hand Clockwise
75759,Stop Sign
106853,Thumb Up
11090,Sliding Two Fingers Up
8840,Turning Hand Clockwise
107932,Sliding Two Fingers Up
81195,Stop Sign
25677,Thumb Up
138153,Sliding Two Fingers Up
51781,No gesture
72125,Stop Sign
46928,Thumb Up
139090,Doing other things
123945,Thumb Up
62259,Sliding Two Fingers Down
26202,Thumb Up
104050,Doing other things
65477,Sliding Two Fingers Up
55098,Sliding Two Fingers Down
20979,Sliding Two Fingers Up
26836,Sliding Two Fingers Down
131234,Sliding Two Fingers Down
139338,Thumb Up
132862,Thumb Up
24507,Doing other things
5779,Doing other things
70942,Doing other things
112777,No gesture
86,Thumb Up
103352,Stop Sign
106481,Sliding Two Fingers Down
80396,Sliding Two Fingers Up
43201,Thumb Up
55628,Thumb Up
4201,Swiping Right
32467,Doing other things
79552,No gesture
97552,Thumb Up
87990,No gesture
128888,Stop Sign
14504,Doing other things
133582,Doing other things
85739,Sliding Two Fingers Up
91986,Doing other things
25583,Swiping Left
67654,Swiping Left
125829,Swiping Left
123666,Swiping Right
107162,Swiping Left
82826,Sliding Two Fingers Up
1639,Doing other things
24480,Doing other things
116615,Doing other things
73789,Thumb Up
84029,Doing other things
81646,Swiping Left
89362,Swiping Left
65600,Doing other things
5610,Sliding Two Fingers Up
9566,Swiping Left
109769,Sliding Two Fingers Up
111192,Swiping Right
20393,Doing other things
30011,Doing other things
3121,Swiping Left
134971,Swiping Left
137526,Sliding Two Fingers Up
103482,Sliding Two Fingers Down
136188,Stop Sign
68451,No gesture
1839,Sliding Two Fingers Up
56890,Turning Hand Clockwise
107261,Stop Sign
104173,Doing other things
29109,Sliding Two Fingers Up
49164,Thumb Up
67633,Sliding Two Fingers Down
81122,Thumb Up
60783,Swiping Right
77527,Thumb Up
120751,Doing other things
58981,Swiping Left
116213,Thumb Up
112246,Sliding Two Fingers Up
101040,Swiping Left
62569,Sliding Two Fingers Down
69062,Swiping Right
124485,Thumb Up
124473,Thumb Up
143766,Sliding Two Fingers Up
20329,No gesture
78749,Doing other things
138816,Swiping Left
113095,Sliding Two Fingers Up
143748,Doing other things
146083,Doing other things
10454,Sliding Two Fingers Up
132887,Doing other things
60169,Swiping Right
25452,No gesture
102295,Turning Hand Clockwise
127442,Stop Sign
144203,No gesture
64542,Sliding Two Fingers Down
75494,Thumb Up
16696,Swiping Right
121,Sliding Two Fingers Down
36562,Doing other things
46221,Sliding Two Fingers Up
102184,Swiping Left
115307,No gesture
70368,Swiping Left
56897,Stop Sign
3411,No gesture
147228,Doing other things
143098,No gesture
106831,No gesture
96912,Swiping Right
7782,Thumb Up
107482,Sliding Two Fingers Up
139993,Sliding Two Fingers Down
122632,Thumb Up
122645,Stop Sign
39406,Doing other things
51044,Sliding Two Fingers Up
32672,Stop Sign
21935,Doing other things
64575,Doing other things
40330,Sliding Two Fingers Up
69076,Doing other things
20073,Doing other things
108463,Swiping Left
99546,Doing other things
100883,Swiping Right
36287,Doing other things
92499,Stop Sign
136495,Sliding Two Fingers Down
57132,Doing other things
98083,Sliding Two Fingers Down
95310,Thumb Up
144263,Swiping Left
123951,Doing other things
134908,Doing other things
119645,No gesture
28361,No gesture
147684,Turning Hand Clockwise
133145,Turning Hand Clockwise
138365,Stop Sign
36563,Doing other things
116608,Thumb Up
57659,Doing other things
74288,No gesture
10147,Sliding Two Fingers Down
74553,Thumb Up
42130,Doing other things
76946,Sliding Two Fingers Down
92568,No gesture
80067,Stop Sign
45615,Swiping Left
106960,Sliding Two Fingers Down
132798,Swiping Left
41042,Doing other things
113302,Turning Hand Clockwise
115203,Doing other things
107566,Sliding Two Fingers Down
33448,Sliding Two Fingers Down
84880,Stop Sign
111977,No gesture
115154,Doing other things
19142,Doing other things
6518,Sliding Two Fingers Down
35238,Doing other things
122391,Doing other things
78440,Stop Sign
48601,Thumb Up
120113,Sliding Two Fingers Down
115408,No gesture
131572,Doing other things
43401,No gesture
20067,Swiping Left
113052,Turning Hand Clockwise
30821,Stop Sign
5861,Doing other things
92006,Thumb Up
12508,Thumb Up
64011,Turning Hand Clockwise
27067,Doing other things
120865,Sliding Two Fingers Up
15463,Doing other things
66136,Thumb Up
76791,Swiping Right
67469,Sliding Two Fingers Up
91913,Sliding Two Fingers Up
67596,Doing other things
113270,Sliding Two Fingers Down
23675,Swiping Right
31014,Swiping Left
68180,Doing other things
120622,Swiping Right
78794,Sliding Two Fingers Up
67582,Sliding Two Fingers Down
95094,Sliding Two Fingers Down
79452,Sliding Two Fingers Up
58874,Doing other things
81124,Swiping Left
55206,Turning Hand Clockwise
51445,Sliding Two Fingers Down
113485,Swiping Right
72504,No gesture
44726,Swiping Left
85206,Swiping Right
65242,Doing other things
4683,Doing other things
59773,Doing other things
109763,Stop Sign
91316,No gesture
46866,Doing other things
6008,Sliding Two Fingers Up
96357,Doing other things
146643,Stop Sign
118162,Swiping Right
136372,Turning Hand Clockwise
124201,Turning Hand Clockwise
37441,Sliding Two Fingers Up
110732,Doing other things
62233,Doing other things
70393,Swiping Left
59493,No gesture
122767,Stop Sign
145672,Swiping Left
128551,Doing other things
125507,Stop Sign
92481,No gesture
73046,Turning Hand Clockwise
4999,Turning Hand Clockwise
103744,No gesture
122793,Doing other things
24,Turning Hand Clockwise
104888,Sliding Two Fingers Up
34482,Sliding Two Fingers Up
51018,Thumb Up
89627,Turning Hand Clockwise
68824,Swiping Left
136823,Stop Sign
128461,Swiping Right
106236,Turning Hand Clockwise
76248,Doing other things
77189,Sliding Two Fingers Down
67365,No gesture
82274,Stop Sign
7452,Sliding Two Fingers Up
52734,No gesture
24548,Turning Hand Clockwise
17023,Thumb Up
131589,Doing other things
20017,Doing other things
70164,Sliding Two Fingers Up
8779,Doing other things
79395,Turning Hand Clockwise
35298,Turning Hand Clockwise
126126,No gesture
99131,Doing other things
55969,Stop Sign
75399,Doing other things
121377,No gesture
140792,Stop Sign
66715,Sliding Two Fingers Down
8036,Swiping Left
80688,Swiping Right
145191,Swiping Left
120296,Turning Hand Clockwise
58310,Sliding Two Fingers Up
135680,Doing other things
127341,Swiping Right
2705,Doing other things
48581,Swiping Right
77290,Doing other things
141669,Swiping Right
57701,Thumb Up
129065,Doing other things
10024,Thumb Up
55435,Doing other things
17596,Sliding Two Fingers Down
76772,Doing other things
115223,Swiping Right
114528,Stop Sign
141069,Swiping Right
102098,Stop Sign
93734,Swiping Left
7865,Doing other things
81112,Doing other things
60346,Thumb Up
7711,Stop Sign
46036,No gesture
146430,Doing other things
63901,Doing other things
86187,Doing other things
82837,Doing other things
11434,Thumb Up
52558,Doing other things
82044,Doing other things
95473,No gesture
70169,Stop Sign
115059,Sliding Two Fingers Down
125349,Doing other things
21461,Stop Sign
102778,Turning Hand Clockwise
91252,Doing other things
12099,Turning Hand Clockwise
107405,Turning Hand Clockwise
142966,Doing other things
118504,Doing other things
36317,Swiping Right
40072,Swiping Right
130118,Doing other things
79401,Doing other things
133234,Swiping Left
131610,Doing other things
109299,No gesture
48233,Sliding Two Fingers Up
31700,No gesture
13279,Thumb Up
125529,Sliding Two Fingers Up
19581,Sliding Two Fingers Up
66394,Stop Sign
55869,Sliding Two Fingers Up
111469,Sliding Two Fingers Down
105220,Doing other things
112044,Swiping Right
65720,Sliding Two Fingers Down
14565,Thumb Up
84222,Thumb Up
117136,Sliding Two Fingers Up
140895,Doing other things
131077,Thumb Up
39201,No gesture
61436,Doing other things
83828,Doing other things
102461,Doing other things
24653,Doing other things
7542,Thumb Up
59184,Thumb Up
20475,Stop Sign
68155,Swiping Right
144159,No gesture
106987,Stop Sign
26641,Swiping Right
59978,Sliding Two Fingers Up
73455,Swiping Right
18875,Stop Sign
50319,Sliding Two Fingers Down
142526,Swiping Left
80558,Doing other things
35701,No gesture
98470,Doing other things
26544,Turning Hand Clockwise
20530,Doing other things
132873,Stop Sign
32925,Doing other things
119790,Doing other things
146740,Thumb Up
99707,Swiping Left
67474,Doing other things
58536,Turning Hand Clockwise
128410,Doing other things
73304,Swiping Left
107072,Doing other things
135773,No gesture
4173,Swiping Left
129983,Sliding Two Fingers Down
67865,No gesture
73302,Thumb Up
111804,Doing other things
54493,Swiping Left
7387,No gesture
75329,Stop Sign
43562,Stop Sign
22205,Swiping Left
3324,Turning Hand Clockwise
142447,Thumb Up
31244,Doing other things
26454,Stop Sign
121514,Turning Hand Clockwise
70011,Doing other things
98112,Sliding Two Fingers Up
15317,Thumb Up
27084,No gesture
70343,Doing other things
75292,Doing other things
117724,Thumb Up
71732,No gesture
116222,No gesture
69858,Stop Sign
147068,Sliding Two Fingers Up
142416,Turning Hand Clockwise
119828,Stop Sign
41439,Doing other things
67237,Stop Sign
57660,Sliding Two Fingers Down
142105,No gesture
40534,Sliding Two Fingers Up
37644,Sliding Two Fingers Down
81705,Swiping Left
140038,Sliding Two Fingers Down
122561,Doing other things
5107,Doing other things
63967,No gesture
132115,Sliding Two Fingers Down
93547,No gesture
88720,Sliding Two Fingers Down
118870,Doing other things
37150,No gesture
107218,Thumb Up
87239,No gesture
8319,Turning Hand Clockwise
54217,Sliding Two Fingers Up
94175,Stop Sign
102336,Doing other things
102349,Swiping Right
88786,Sliding Two Fingers Down
72799,Thumb Up
109028,Swiping Left
19264,Turning Hand Clockwise
51046,Swiping Right
88243,Doing other things
129061,Thumb Up
76781,Swiping Right
